"Package","Version","Built"
"pbkrtest","0.5.5","4.5.3"
"pheatmap","1.0.13","4.5.3"
"PICsnATAC","0.3.1","4.5.3"
"pillar","1.11.1","4.5.3"
"pkgbuild","1.4.8","4.5.3"
"pkgconfig","2.0.3","4.5.3"
"pkgdown","2.2.0","4.5.3"
"pkgload","1.5.2","4.5.3"
"plotly","4.12.0","4.5.3"
"plyr","1.8.9","4.5.3"
"png","0.1-9","4.5.3"
"polyclip","1.10-7","4.5.3"
"polynom","1.4-1","4.5.3"
"posterior","1.7.0","4.5.3"
"pracma","2.4.6","4.5.3"
"praise","1.0.0","4.5.3"
"prettyunits","1.2.0","4.5.3"
"processx","3.9.0","4.5.3"
"profvis","0.4.0","4.5.3"
"progeny","1.32.0","4.5.3"
"progress","1.2.3","4.5.3"
"progressr","0.19.0","4.5.3"
"promises","1.5.0","4.5.3"
"ProtGenerics","1.42.0","4.5.3"
"proxy","0.4-29","4.5.3"
"ps","1.9.3","4.5.3"
"purrr","1.2.2","4.5.3"
"pwalign","1.6.0","4.5.3"
"quantreg","6.1","4.5.3"
"QuickJSR","1.9.2","4.5.3"
"qvalue","2.42.0","4.5.3"
"R.cache","0.17.0","4.5.3"
"R.methodsS3","1.8.2","4.5.3"
"R.oo","1.27.1","4.5.3"
"R.utils","2.13.0","4.5.3"
"R6","2.6.1","4.5.3"
"ragg","1.5.2","4.5.3"
"RANN","2.6.2","4.5.3"
"rappdirs","0.3.4","4.5.3"
"rARPACK","0.11-0","4.5.3"
"rbibutils","2.4.1","4.5.3"
"rcmdcheck","1.4.0","4.5.3"
"RColorBrewer","1.1-3","4.5.3"
"Rcpp","1.1.1-1.1","4.5.3"
"RcppAnnoy","0.0.23","4.5.3"
"RcppArmadillo","15.2.6-1","4.5.3"
"RcppEigen","0.3.4.0.2","4.5.3"
"RcppHNSW","0.6.0","4.5.3"
"RcppML","0.3.7.1","4.5.3"
"RcppParallel","5.1.11-2","4.5.3"
"RcppProgress","0.4.2","4.5.3"
"RcppRoll","0.3.2","4.5.3"
"RcppTOML","0.2.3","4.5.3"
"RCurl","1.98-1.18","4.5.3"
"Rdpack","2.6.6","4.5.3"
"readr","2.2.0","4.5.3"
"readxl","1.4.5","4.5.3"
"reformulas","0.4.4","4.5.3"
"remaCor","0.0.20","4.5.3"
"rematch","2.0.0","4.5.3"
"rematch2","2.1.2","4.5.3"
"remotes","2.5.0","4.5.3"
"renv","1.2.2","4.5.3"
"repr","1.1.7","4.5.3"
"reprex","2.1.1","4.5.3"
"reshape2","1.4.5","4.5.3"
"restfulr","0.0.16","4.5.3"
"reticulate","1.46.0","4.5.3"
"rex","1.2.2","4.5.3"
"Rfast","2.1.5.2","4.5.3"
"rgl","1.3.36","4.5.3"
"rhdf5","2.54.1","4.5.3"
"rhdf5filters","1.22.0","4.5.3"
"Rhdf5lib","1.32.0","4.5.3"
"RhpcBLASctl","0.23-42","4.5.3"
"Rhtslib","3.6.0","4.5.3"
"rjson","0.2.23","4.5.3"
"rlang","1.2.0","4.5.3"
"rmarkdown","2.31","4.5.3"
"ROCR","1.0-12","4.5.3"
"rootSolve","1.8.2.4","4.5.3"
"roxygen2","7.3.3","4.5.3"
"rpart","4.1.27","4.5.3"
"rprojroot","2.1.1","4.5.3"
"Rsamtools","2.26.0","4.5.3"
"RSpectra","0.16-2","4.5.3"
"RSQLite","2.4.6","4.5.3"
"rstan","2.32.7","4.5.3"
"rstantools","2.6.0","4.5.3"
"rstatix","0.7.3","4.5.3"
"rstudioapi","0.18.0","4.5.3"
"rsvd","1.0.5","4.5.3"
"rtracklayer","1.70.1","4.5.3"
"Rtsne","0.17","4.5.3"
"rversions","3.0.0","4.5.3"
"rvest","1.0.5","4.5.3"
"S4Arrays","1.10.1","4.5.3"
"S4Vectors","0.48.1","4.5.3"
"S7","0.2.2","4.5.3"
"sandwich","3.1-1","4.5.3"
"sass","0.4.10","4.5.3"
"ScaledMatrix","1.18.0","4.5.3"
"scales","1.4.0","4.5.3"
"scater","1.38.1","4.5.3"
"scattermore","1.2","4.5.3"
"scatterpie","0.2.6","4.5.3"
"scDblFinder","1.24.10","4.5.3"
"scran","1.38.1","4.5.3"
"sctransform","0.4.3","4.5.3"
"scuttle","1.20.0","4.5.3"
"selectr","0.5-1","4.5.3"
"Seqinfo","1.0.0","4.5.3"
"seqLogo","1.76.0","4.5.3"
"sessioninfo","1.2.3","4.5.3"
"Seurat","5.4.0","4.5.3"
"SeuratObject","5.4.0","4.5.3"
"shape","1.4.6.1","4.5.3"
"shiny","1.13.0","4.5.3"
"Signac","1.17.1","4.5.3"
"SingleCellExperiment","1.32.0","4.5.3"
"SingleR","2.12.0","4.5.3"
"sitmo","2.0.2","4.5.3"
"slam","0.1-55","4.5.3"
"snow","0.4-4","4.5.3"
"SoupX","1.6.2","4.5.3"
"sourcetools","0.1.7-2","4.5.3"
"sp","2.2-1","4.5.3"
"spam","2.11-3","4.5.3"
"SparseArray","1.10.10","4.5.3"
"SparseM","1.84-2","4.5.3"
"sparseMatrixStats","1.22.0","4.5.3"
"spatial","7.3-18","4.5.3"
"SpatialExperiment","1.20.0","4.5.3"
"spatstat.data","3.1-9","4.5.3"
"spatstat.explore","3.8-0","4.5.3"
"spatstat.geom","3.7-3","4.5.3"
"spatstat.random","3.4-5","4.5.3"
"spatstat.sparse","3.1-0","4.5.3"
"spatstat.univar","3.1-7","4.5.3"
"spatstat.utils","3.2-2","4.5.3"
"splines","4.5.3","4.5.3"
"StanHeaders","2.32.10","4.5.3"
"statmod","1.5.1","4.5.3"
"stats","4.5.3","4.5.3"
"stats4","4.5.3","4.5.3"
"stringi","1.8.7","4.5.3"
"stringr","1.6.0","4.5.3"
"styler","1.11.0","4.5.3"
"SummarizedExperiment","1.40.0","4.5.3"
"survival","3.8-6","4.5.3"
"svglite","2.2.2","4.5.3"
"sys","3.4.3","4.5.3"
"systemfonts","1.3.2","4.5.3"
"tcltk","4.5.3","4.5.3"
"tensor","1.5.1","4.5.3"
"tensorA","0.36.2.1","4.5.3"
"testthat","3.3.2","4.5.3"
"textshaping","1.0.5","4.5.3"
"TFBSTools","1.48.0","4.5.3"
"TFMPvalue","1.0.0","4.5.3"
"tibble","3.3.1","4.5.3"
"tictoc","1.2.1","4.5.3"
"tidydr","0.0.6","4.5.3"
"tidyr","1.3.2","4.5.3"
"tidyselect","1.2.1","4.5.3"
"tidytree","0.4.7","4.5.3"
"tidyverse","2.0.0","4.5.3"
"timechange","0.4.0","4.5.3"
"timeDate","4052.112","4.5.3"
"tinytex","0.59","4.5.3"
"TMB","1.9.21","4.5.3"
"tools","4.5.3","4.5.3"
"treeio","1.34.0","4.5.3"
"tweenr","2.0.3","4.5.3"
"tzdb","0.5.0","4.5.3"
"UCSC.utils","1.6.1","4.5.3"
"unigd","0.2.0","4.5.3"
"urca","1.3-4","4.5.3"
"urlchecker","1.0.1","4.5.3"
"usethis","3.2.1","4.5.3"
"utf8","1.2.6","4.5.3"
"utils","4.5.3","4.5.3"
"uuid","1.2-2","4.5.3"
"uwot","0.2.4","4.5.3"
"V8","8.1.0","4.5.3"
"variancePartition","1.40.2","4.5.3"
"vctrs","0.7.3","4.5.3"
"vipor","0.4.7","4.5.3"
"viridis","0.6.5","4.5.3"
"viridisLite","0.4.3","4.5.3"
"vroom","1.7.1","4.5.3"
"waldo","0.6.2","4.5.3"
"whisker","0.4.1","4.5.3"
"withr","3.0.2","4.5.3"
"xfun","0.57","4.5.3"
"xgboost","3.2.1.1","4.5.3"
"XML","3.99-0.23","4.5.3"
"xml2","1.5.2","4.5.3"
"xmlparsedata","1.0.5","4.5.3"
"xopen","1.0.1","4.5.3"
"xtable","1.8-8","4.5.3"
"XVector","0.50.0","4.5.3"
"yaml","2.3.12","4.5.3"
"yulab.utils","0.2.4","4.5.3"
"zellkonverter","1.20.1","4.5.3"
"zigg","0.0.2","4.5.3"
"zip","2.3.3","4.5.3"
"zoo","1.8-15","4.5.3"
